"Place","State","Country","EstimateLow","EstimateHigh","Estimate3","DiffDate","Source1","Source2","Source3","Location","FullLocation","Source3Link","Source2Link","Source1Link"
"Columbia","Missouri","United States","2,000","3,604","","","Source 1","Source 2","Source 3","Columbia, Missouri","Columbia, Missouri, United States","http://www.columbiamissourian.com/news/local/columbia-residents-come-out-for-the-mid-missouri-solidarity-march/article_d1b415e0-e02e-11e6-bd0c-ab2a39b0f844.html","https://twitter.com/aliemalie/status/823031663592669184","http://www.columbiatribune.com/news/local/local-solidarity-march-brings-out-hundreds-in-opposition-to-trump/article_600dbb1a-2273-58c3-9799-ac4a96578a24.html"
"Columbia","South Carolina","United States","2,000","3,000","","","Source 1","Source 2",NA,"Columbia, South Carolina","Columbia, South Carolina, United States",NA,"http://www.cleveland.com/politics/index.ssf/2017/01/ohio_womens_march_draws_thousa.html","http://www.heraldonline.com/latest-news/article127939199.html"
"Columbus","Ohio","United States","2,000","3,000","","1","Source 1","Source 2",NA,"Columbus, Ohio","Columbus, Ohio, United States",NA,"http://www.cleveland.com/politics/index.ssf/2017/01/ohio_womens_march_draws_thousa.html","http://wksu.org/post/womens-march-columbus-draws-thousands-people#stream/0"
"Columbus","Ohio","United States","200","200","","","Source 1",NA,NA,"Columbus, Ohio","Columbus, Ohio, United States",NA,NA,"http://thelantern.com/2017/01/students-stage-walkout-in-protest-against-president-trump/"
"Compton","California","United States","35","45","","","Source 1 :  estimated headcount from FB photos provided via google form",NA,NA,"Compton, California","Compton, California, United States",NA,NA,NA
"Concord","New Hampshire","United States","4,000","6,000","","","Source 1","Source 2",NA,"Concord, New Hampshire","Concord, New Hampshire, United States",NA,"http://www.wmur.com/article/why-older-siblings-are-better-at-life/8634416","https://twitter.com/LenStuart/status/822934229671673861"
"Conover","Wisconsin","United States","1","1","","","Source 1 :  FB",NA,NA,"Conover, Wisconsin","Conover, Wisconsin, United States",NA,NA,NA
"Conway","New Hampshire","United States","","","","",NA,NA,NA,"Conway, New Hampshire","Conway, New Hampshire, United States",NA,NA,NA
"Cooperstown","New York","United States","200","200","","","Source 1",NA,NA,"Cooperstown, New York","Cooperstown, New York, United States",NA,NA,"http://www.allotsego.com/women-allies-march-across-otsego-county/"
"Coos Bay","Oregon","United States","200","200","","","Source 1",NA,NA,"Coos Bay, Oregon","Coos Bay, Oregon, United States",NA,NA,"http://theworldlink.com/news/local/hundreds-rally-at-women-s-march-in-downtown-coos-bay/article_997db7f0-b921-5aef-8e37-5945831c8400.html"
"Copper Harbor","Michigan","United States","19","36","","","Source 1","Source 2 :  onsite eyewitness w/ photo head count",NA,"Copper Harbor, Michigan","Copper Harbor, Michigan, United States",NA,NA,"https://twitter.com/LlrCandy/status/823050874305921024"
"Cordova","Alaska","United States","108","114","","","Source 1 :  onsite eyewitness who did headcount",NA,NA,"Cordova, Alaska","Cordova, Alaska, United States",NA,NA,NA
"Corpus Christi","Texas","United States","24","24","","","Source 1",NA,NA,"Corpus Christi, Texas","Corpus Christi, Texas, United States",NA,NA,"http://www.kristv.com//story/34315427/corpus-christi-womens-march#.WIRF0H0kfZo.twitter"
"Cortez","Colorado","United States","400","504","","","Source 1","Source 2",NA,"Cortez, Colorado","Cortez, Colorado, United States",NA,"http://www.cortezjournal.com/article/20170121/NEWS01/170129975/400-march-through-snow-in-Cortez-unity-demonstration","http://www.cortezjournal.com/article/20170121/NEWS01/170129975/400-march-through-snow-in-Cortez-unity-demonstration"
"Corvallis","Oregon","United States","100","100","","","Source 1 :  FB",NA,NA,"Corvallis, Oregon","Corvallis, Oregon, United States",NA,NA,NA
"Craftsbury","Vermont","United States","15","15","","","Source 1 :  FB group photo w headcount",NA,NA,"Craftsbury, Vermont","Craftsbury, Vermont, United States",NA,NA,NA
"Crested Butte","Colorado","United States","350","500","","","Source 1","Source 2",NA,"Crested Butte, Colorado","Crested Butte, Colorado, United States",NA,"https://m.facebook.com/events/1638075409825947?view=permalink&id=1667871780179643","https://twitter.com/jcgreenfield/status/823228054864596993"
"Crestone","Colorado","United States","1","1","","","Source 1 :  FB",NA,NA,"Crestone, Colorado","Crestone, Colorado, United States",NA,NA,NA
"Cruz Bay","Virgin Islands","United States","200","200","","","Source 1",NA,NA,"Cruz Bay, Virgin Islands","Cruz Bay, Virgin Islands, United States",NA,NA,"http://stjohnsource.com/content/news/local-news/2017/01/22/st-john-women-s-march-draws-200"
"Crystal River","Florida","United States","7","7","","","Source 1 :  FB group photo w headcount",NA,NA,"Crystal River, Florida","Crystal River, Florida, United States",NA,NA,NA
"Dallas","Texas","United States","5,000","8,000","10,000","","Source 1","Source 2","Source 3 :  FB","Dallas, Texas","Dallas, Texas, United States",NA,"http://www.dallasnews.com/news/dallas/2017/01/21/watch-dallas-womens-march-kicks-downtown","http://www.dallasnews.com/news/dallas/2017/01/21/watch-dallas-womens-march-kicks-downtown"
"Davis","West Virginia","United States","12","12","","","Source 1 :  onsite eyewitness who did headcount",NA,NA,"Davis, West Virginia","Davis, West Virginia, United States",NA,NA,NA
"Dayton","Ohio","United States","3,000","3,000","","","Source 1","Source 2",NA,"Dayton, Ohio","Dayton, Ohio, United States",NA,"http://wyso.org/post/thousands-attend-dayton-womens-march-courthouse-square","http://www.mydaytondailynews.com/news/local/thousands-rally-dayton-part-women-march-events/ZlU3xaMQAph01LyLEZPs4H/"
"Daytona Beach","Florida","United States","100","100","","","Source 1",NA,NA,"Daytona Beach, Florida","Daytona Beach, Florida, United States",NA,NA,"http://www.news-journalonline.com/news/20170121/signs-of-solidarity-women-take-part-locally-in-two-sister-marches"
"Decorah","Iowa","United States","800","1,000","","","Source 1",NA,NA,"Decorah, Iowa","Decorah, Iowa, United States",NA,NA,"http://www.decorahnews.com/news-stories/2017/01/15551.html"
"Delaware","Ohio","United States","127","130","","","Source 1 :  organizer headcount via sign-in / photos",NA,NA,"Delaware, Ohio","Delaware, Ohio, United States",NA,NA,NA
"Delhi","New York","United States","50","120","","","Source 1 :  instagram #delhiny","Source 2",NA,"Delhi, New York","Delhi, New York, United States",NA,"https://www.facebook.com/groups/pantsuitnation/search/?query=women%27s%20march%20in%20delhi",NA
"Deming","New Mexico","United States","45","50","","","Source 1",NA,NA,"Deming, New Mexico","Deming, New Mexico, United States",NA,NA,"http://www.demingradio.com/news/local-group-marches-in-solidarity-with-womens-march-on-washington"
"Denton","Texas","United States","2,500","2,800","","","Source 1","Source 2 :  FB (organizer site)",NA,"Denton, Texas","Denton, Texas, United States",NA,NA,"http://www.dentonrc.com/local-news/local-news-headlines/20170121-divided-nation-united-denton.ece"
"Denver","Colorado","United States","100,000","200,000","","","Source 1","Source 2",NA,"Denver, Colorado","Denver, Colorado, United States",NA,"https://twitter.com/DenverChannel/status/822879895487475712 ","http://www.thedenverchannel.com/news/front-range/denver/thousands-gather-for-womens-march-on-denver"
"Des Moines","Iowa","United States","26,000","26,000","","","Source 1","Source 2",NA,"Des Moines, Iowa","Des Moines, Iowa, United States",NA,"http://www.desmoinesregister.com/story/news/2017/01/21/womens-march-des-moines-25000/96552334/","http://whotv.com/2017/01/21/thousands-rally-at-iowa-state-capitol-for-womens-march-against-trump/"
"Detroit","Michigan","United States","4,000","4,000","","","Source 1","Source 2",NA,"Detroit, Michigan","Detroit, Michigan, United States",NA,"http://www.freep.com/picture-gallery/news/2017/01/21/photos-womens-march-in-detroit/96912790/","http://www.detroitnews.com/story/news/local/detroit-city/2017/01/21/thousands-march-detroit-opposing-trump-presidency/96880054/"
"Disability (online)","","United States","","","","","Source 1",NA,NA,"Disability (online), ","Disability (online), , United States",NA,NA,"https://disabilitymarch.com/"
"Douglas-Saugatuck","Michigan","United States","1,200","2,500","","","Source 1 :  via email ","Source 2",NA,"Douglas-Saugatuck, Michigan","Douglas-Saugatuck, Michigan, United States",NA,"https://bicyclebasefennville.wordpress.com/2017/01/21/douglas-saugatuck-join-worldwide-womens-march ",NA
"Doylestown","Pennsylvania","United States","1,000","2,000","","","Source 1","Source 2","Source 3 :  Bucks County Courier Times","Doylestown, Pennsylvania","Doylestown, Pennsylvania, United States",NA,"http://patch.com/pennsylvania/newtown-pa/2-000-turn-out-womens-march-bucks-county-photos-video","https://twitter.com/JimAleski/status/823025384748974080"
"Driggs","Idaho","United States","1,000","1,000","","","Source 1",NA,NA,"Driggs, Idaho","Driggs, Idaho, United States",NA,NA,"http://planetjh.com/2017/01/21/in-pictures-the-womens-march-on-jackson/"
"Dubuque","Iowa","United States","400","400","","","Source 1",NA,NA,"Dubuque, Iowa","Dubuque, Iowa, United States",NA,NA,"http://whotv.com/2017/01/21/smaller-march-in-dubuque-brings-strong-voices/"
"Duluth","Minnesota","United States","1,500","1,700","","","Source 1 :  Duluth News Tribune","Source 2 :  organizer reports grid-based count-off system via google form",NA,"Duluth, Minnesota","Duluth, Minnesota, United States",NA,NA,NA
"Durango","Colorado","United States","200","1,000","","","Source 1","Source 2 :  FB",NA,"Durango, Colorado","Durango, Colorado, United States",NA,NA,"https://durangoherald.com/articles/129940-hundreds-march-through-foot-of-snow-in-durango"
"Eagle Pass","Texas","United States","30","30","","","Source 1 :  FB video headcount",NA,NA,"Eagle Pass, Texas","Eagle Pass, Texas, United States",NA,NA,NA
"East Haddam","Connecticut","United States","500","500","","","Source 1",NA,NA,"East Haddam, Connecticut","East Haddam, Connecticut, United States",NA,NA,"https://twitter.com/ColleenFree/status/823159668541366273"
"East Liberty","Pennsylvania","United States","2,000","2,000","","","Source 1",NA,NA,"East Liberty, Pennsylvania","East Liberty, Pennsylvania, United States",NA,NA,"https://www.facebook.com/PghPoliceZone5/posts/1731101453873096?pnref=story"
"East Millinocket","Maine","United States","4","4","","","Source 1 :  self-report w headcount via google form",NA,NA,"East Millinocket, Maine","East Millinocket, Maine, United States",NA,NA,NA
"Eastport","Maine","United States","111","111","","","Source 1 :  organizer headcount via sign-in ",NA,NA,"Eastport, Maine","Eastport, Maine, United States",NA,NA,NA
"Eastsound","Washington","United States","250","250","","","Source 1",NA,NA,"Eastsound, Washington","Eastsound, Washington, United States",NA,NA,"http://orcasissues.com/orcas-step-worldwide-marches/"
"Eau Claire","Wisconsin","United States","250","250","","","Source 1",NA,NA,"Eau Claire, Wisconsin","Eau Claire, Wisconsin, United States",NA,NA,"http://www.weau.com/content/news/Hundreds-march-in-Eau-Claire-to-support-Womens-March-411425375.html"
"Eau Gallie","Florida","United States","","","","","Source 1 :  see Melbourne/Brevard County, FL",NA,NA,"Eau Gallie, Florida","Eau Gallie, Florida, United States",NA,NA,NA
"El Centro","California","United States","100","100","","","Source 1 :  Imperial Valley Press",NA,NA,"El Centro, California","El Centro, California, United States",NA,NA,NA
"El Morro","New Mexico","United States","30","30","","","Source 1",NA,NA,"El Morro, New Mexico","El Morro, New Mexico, United States",NA,NA,"https://twitter.com/kristi5Davis/status/823944076684828672"
"El Paso","Texas","United States","1,000","2,000","","","Source 1","Source 2",NA,"El Paso, Texas","El Paso, Texas, United States",NA,"http://www.kvia.com/news/politics/thousands-of-women-march-in-borderland-for-their-rights/285015803","https://twitter.com/AdriaKFOX_CBS/status/822987688689078272"
"Elgin","Illinois","United States","200","1,000","","","Source 1 :  The Courier News","Source 2","Source 3 :  via google form, 1000-room theater was standing room only","Elgin, Illinois","Elgin, Illinois, United States",NA,"https://twitter.com/georgerapidis/status/823234390255878146",NA
"Elkton","Oregon","United States","","","","","Source 1 :  see Portland, OR ","Source 2",NA,"Elkton, Oregon","Elkton, Oregon, United States",NA,"http://www.nrtoday.com/news/local/douglas-county-women-join-women-s-march-in-portland/article_7bf9642e-46e9-50eb-9bff-489ad817e37f.html",NA
"Elizabethtown","New York","United States","","","","","Source 1 :  see Lewis, NY",NA,NA,"Elizabethtown, New York","Elizabethtown, New York, United States",NA,NA,NA
"Ellensburg","Washington","United States","200","275","","","Source 1 :  activist self-report via google form","Source 2",NA,"Ellensburg, Washington","Ellensburg, Washington, United States",NA,"https://m.youtube.com/watch?v=Gl0VFgaB16E   https://www.facebook.com/groups/753010691530732/",NA
"Ellsworth","Maine","United States","60","60","","","Source 1",NA,NA,"Ellsworth, Maine","Ellsworth, Maine, United States",NA,NA,"https://twitter.com/UpFrontSoul/status/823162970633015300"
"Ely","Minnesota","United States","50","50","","","Source 1",NA,NA,"Ely, Minnesota","Ely, Minnesota, United States",NA,NA,"http://elyecho.com/articles/2017/01/21/ely-area-women-hold-rally-saturday-whiteside-park"
"Encinitas","California","United States","50","50","","","Source 1",NA,NA,"Encinitas, California","Encinitas, California, United States",NA,NA,"http://www.nbcsandiego.com/news/local/This-is-a-Little-One-Seniors-Walk-in-Solidarity-With-the-Womens-March-411446085.html"
"Enterprise","Oregon","United States","","","","",NA,NA,NA,"Enterprise, Oregon","Enterprise, Oregon, United States",NA,NA,NA
"Ephrata","Washington","United States","250","250","","","Source 1 :  FB",NA,NA,"Ephrata, Washington","Ephrata, Washington, United States",NA,NA,NA
"Erie","Pennsylvania","United States","2,500","4,000","","","Source 1","Source 2",NA,"Erie, Pennsylvania","Erie, Pennsylvania, United States",NA,"http://www.goerie.com/news/20170121/thousands-demonstrate-in-womens-march-on-erie","http://www.goerie.com/news/20170121/thousands-demonstrate-in-womens-march-on-erie"
"Esperanza","PR","United States","300","350","","","Source 1 :  Eyewitness on site",NA,NA,"Esperanza, PR","Esperanza, PR, United States",NA,NA,NA
"Eugene","Oregon","United States","7,000","10,000","","","Source 1","Source 2",NA,"Eugene, Oregon","Eugene, Oregon, United States",NA,"https://twitter.com/erinely/status/822965859194793985","http://registerguard.com/rg/news/local/35195183-75/more-than-7000-participate-in-womens-march-in-eugene-joining-hundreds-of-thousands-around-the-nation.html.csp"
"Eureka","California","United States","5,000","8,000","","","Source 1","Source 2",NA,"Eureka, California","Eureka, California, United States",NA,"http://www.times-standard.com/general-news/20170121/thousands-gather-for-womens-march-on-eureka","https://lostcoastoutpost.com/2017/jan/21/hundreds-flood-eurekas-streets-solidarity-womens-m/"
